TimeStamp,Total particles (ug/m^3),PM10 particles (ug/m^3),PM2.5 particles (ug/m^3),PM1 particles (ug/m^3),Temperature (Celsius),Humidity (% RH),Wind Speed (mtr/sec),Wind Direction (degrees),GPS Coordinates
24/07/2014 00:00:00,19.1,12.2,3.4,0.88,0,0,0,310,"50.38639,-4.8804"
24/07/2014 00:15:00,17.9,10.5,2.86,0.84,0,0,0,310,"50.38639,-4.8804"
24/07/2014 00:30:00,14.8,9.8,2.58,0.8,0,0,0,310,"50.38639,-4.8804"
24/07/2014 00:45:00,15.1,9.2,2.48,0.77,0,0,0,310,"50.38639,-4.8804"
24/07/2014 01:00:00,15.6,9.2,2.43,0.75,0,0,0,310,"50.38639,-4.8804"
24/07/2014 01:15:00,18,10.4,2.31,0.76,0,0,0,310,"50.38639,-4.8804"
24/07/2014 01:30:00,15.2,9,2.27,0.76,0,0,0,310,"50.38639,-4.8804"
24/07/2014 01:45:00,16.9,9.8,2.45,0.78,0,0,0,310,"50.38639,-4.8804"
24/07/2014 02:00:00,17.4,10,2.62,0.81,0,0,0,310,"50.38639,-4.8804"
24/07/2014 02:15:00,14.1,9.5,2.55,0.79,0,0,0,310,"50.38639,-4.8804"
24/07/2014 02:30:00,16.9,10.3,2.73,0.85,0,0,0.2,310,"50.38639,-4.8804"
24/07/2014 02:45:00,15.2,10,2.77,0.89,0,0,0,310,"50.38639,-4.8804"
24/07/2014 03:00:00,16.3,9.9,2.69,0.82,0,0,0,310,"50.38639,-4.8804"
24/07/2014 03:15:00,17.4,10.4,2.65,0.84,0,0,0,310,"50.38639,-4.8804"
24/07/2014 03:30:00,14.6,9.6,2.51,0.8,0,0,0.5,310,"50.38639,-4.8804"
24/07/2014 03:45:00,16,9.9,2.53,0.8,0,0,0.2,310,"50.38639,-4.8804"
24/07/2014 04:00:00,15.3,10.5,2.8,0.87,0,0,0.7,310,"50.38639,-4.8804"
24/07/2014 04:15:00,16.7,10.7,2.9,0.94,0,0,0.9,295,"50.38639,-4.8804"
24/07/2014 04:30:00,16.3,10.7,2.99,0.92,0,0,1,305,"50.38639,-4.8804"
24/07/2014 04:45:00,17,11.8,3.24,1.01,0,0,0.7,300,"50.38639,-4.8804"
24/07/2014 05:00:00,16.7,11.5,3.44,1.05,0,0,0.8,300,"50.38639,-4.8804"
24/07/2014 05:15:00,19.3,11.9,3.51,1.1,0,0,0.8,300,"50.38639,-4.8804"
24/07/2014 05:30:00,17.4,12.1,3.7,1.22,0,0,0.9,300,"50.38639,-4.8804"
24/07/2014 05:45:00,18.8,11.9,3.12,0.93,0,0,0.3,300,"50.38639,-4.8804"
